tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration,medical_service
N628MC,07-Dec-2020,PC12,Fort Worth Meacham Intl (KFTW),"Fort Worth Meacham Intl (Fort Worth, TX) - KFTW",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",05:06PM CST,06:01PM MST,1:55,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,Clovis Muni (KCVN),"Clovis Muni (Clovis, NM) - KCVN",Fort Worth Meacham Intl (KFTW),"Fort Worth Meacham Intl (Fort Worth, TX) - KFTW",11:54AM MST,02:10PM CST,1:16,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Clovis Muni (KCVN),"Clovis Muni (Clovis, NM) - KCVN",10:13AM MST,11:13AM MST,1:00,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Cannon Afb (KCVS),"Cannon Afb (Clovis, NM) - KCVS",10:13AM MST,,Diverted,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",08:47AM MST,09:11AM MST,0:24,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",07:56AM MST,08:15AM MST,0:19,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",05:33AM MST,06:28AM MST,0:55,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,Four Corners Rgnl (KFMN),"Four Corners Rgnl (Farmington, NM) - KFMN",Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",03:34AM MST,04:12AM MST,0:37,AIR METHODS CORP                                  
N628MC,07-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Four Corners Rgnl (KFMN),"Four Corners Rgnl (Farmington, NM) - KFMN",12:43AM MST,01:58AM MST,1:15,AIR METHODS CORP                                  
N628MC,05-Dec-2020,PC12,Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",02:51PM MST,03:45PM MST,0:53,AIR METHODS CORP                                  
N628MC,05-Dec-2020,PC12,Lea County-Zip Franklin Meml (E06),"Lea County-Zip Franklin Meml (Lovington, NM) - E06",Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",12:20PM MST,01:12PM MST,0:51,AIR METHODS CORP                                  
N628MC,05-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Lea County-Zip Franklin Meml (E06),"Lea County-Zip Franklin Meml (Lovington, NM) - E06",09:55AM MST,10:42AM MST,0:46,AIR METHODS CORP                                  
N628MC,05-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Culberson County (KVHN),"Culberson County (Van Horn, TX) - KVHN",09:55AM MST,,Diverted,AIR METHODS CORP                                  
N628MC,05-Dec-2020,PC12,Lubbock Smith Intl (KLBB),"Lubbock Smith Intl (Lubbock, TX) - KLBB",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",04:48AM CST,04:49AM MST,1:00,AIR METHODS CORP                                  
N628MC,05-Dec-2020,PC12,Artesia Muni (KATS),"Artesia Muni (Artesia, NM) - KATS",Lubbock Smith Intl (KLBB),"Lubbock Smith Intl (Lubbock, TX) - KLBB",01:26AM MST,03:05AM CST,0:39,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Artesia Muni (KATS),"Artesia Muni (Artesia, NM) - KATS",11:40PM MST,12:12AM MST (+1),0:32,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,Alamogordo Rgnl (KALM),"Alamogordo Rgnl (Alamogordo, NM) - KALM",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",12:05PM MST,12:25PM MST (?),0:19,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,Lea County Rgnl (KHOB),"Lea County Rgnl (Hobbs, NM) - KHOB",Alamogordo Rgnl (KALM),"Alamogordo Rgnl (Alamogordo, NM) - KALM",09:55AM MST,10:28AM MST,0:32,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Lea County Rgnl (KHOB),"Lea County Rgnl (Hobbs, NM) - KHOB",08:44AM MST,09:30AM MST,0:45,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",05:25AM MST,05:40AM MST (?),0:14,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,Lea County Rgnl (KHOB),"Lea County Rgnl (Hobbs, NM) - KHOB",Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",03:23AM MST,04:12AM MST,0:48,AIR METHODS CORP                                  
N628MC,04-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Lea County Rgnl (KHOB),"Lea County Rgnl (Hobbs, NM) - KHOB",01:02AM MST,01:50AM MST,0:47,AIR METHODS CORP                                  
N628MC,03-Dec-2020,PC12,Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",11:56PM MST,12:10AM MST (+1) (?),0:14,AIR METHODS CORP                                  
N628MC,03-Dec-2020,PC12,"Near Silver City, NM",L 32.57964 -107.94287,Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",10:11PM MST,10:29PM MST,0:18,AIR METHODS CORP                                  
N628MC,03-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP","Near Silver City, NM",L 32.60575 -107.90615,09:14PM MST,Last seen 09:37PM MST,0:22,AIR METHODS CORP                                  
N628MC,03-Dec-2020,PC12,Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",02:25AM MST,03:19AM MST,0:54,AIR METHODS CORP                                  
N628MC,02-Dec-2020,PC12,Cavern City Air Trml (KCNM),"Cavern City Air Trml (Carlsbad, NM) - KCNM",Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",11:34PM MST,12:32AM MST (+1),0:58,AIR METHODS CORP                                  
N628MC,02-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Cavern City Air Trml (KCNM),"Cavern City Air Trml (Carlsbad, NM) - KCNM",08:53PM MST,09:28PM MST,0:35,AIR METHODS CORP                                  
N628MC,02-Dec-2020,PC12,Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",08:03AM MST,08:18AM MST (?),0:15,AIR METHODS CORP                                  
N628MC,02-Dec-2020,PC12,Artesia Muni (KATS),"Artesia Muni (Artesia, NM) - KATS",Las Cruces Intl (KLRU),"Las Cruces Intl (Las Cruces, NM) - KLRU",05:36AM MST,06:18AM MST,0:42,AIR METHODS CORP                                  
N628MC,02-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Artesia Muni (KATS),"Artesia Muni (Artesia, NM) - KATS",04:06AM MST,04:39AM MST,0:32,AIR METHODS CORP                                  
N628MC,02-Dec-2020,PC12,San Antonio Intl (KSAT),"San Antonio Intl (San Antonio, TX) - KSAT",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",02:04AM CST,03:15AM MST,2:10,AIR METHODS CORP                                  
N628MC,01-Dec-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",San Antonio Intl (KSAT),"San Antonio Intl (San Antonio, TX) - KSAT",09:38PM MST,12:14AM CST (+1),1:35,AIR METHODS CORP                                  
N628MC,01-Dec-2020,PC12,Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",01:48AM MST,02:43AM MST,0:54,AIR METHODS CORP                                  
N628MC,30-Nov-2020,PC12,Cavern City Air Trml (KCNM),"Cavern City Air Trml (Carlsbad, NM) - KCNM",Albuquerque Intl Sunport (KABQ),"Albuquerque Intl Sunport (Albuquerque, NM) - KABQ",10:53PM MST,11:52PM MST,0:59,AIR METHODS CORP                                  
N628MC,30-Nov-2020,PC12,El Paso Intl (KELP),"El Paso Intl (El Paso, TX) - KELP",Cavern City Air Trml (KCNM),"Cavern City Air Trml (Carlsbad, NM) - KCNM",08:53PM MST,09:27PM MST,0:34,AIR METHODS CORP                                  
N637PC,28-Feb-2021,PC12,Greenville Mid-Delta (KGLH),"Greenville Mid-Delta (Greenville, MS) - KGLH",Augusta Regional (KAGS),"Augusta Regional (Augusta, GA) - KAGS",06:31PM CST,09:09PM EST,1:37,AIR METHODS CORP                                  
N637PC,28-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Greenville Mid-Delta (KGLH),"Greenville Mid-Delta (Greenville, MS) - KGLH",03:30PM EST,04:36PM CST,2:06,AIR METHODS CORP                                  
N637PC,26-Feb-2021,PC12,Orlando Executive (KORL),"Orlando Executive (Orlando, FL) - KORL",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",11:49PM EST,12:38AM EST (+1),0:48,AIR METHODS CORP                                  
N637PC,26-Feb-2021,PC12,Jacksonville Exec At Craig (KCRG),"Jacksonville Exec At Craig (Jacksonville, FL) - KCRG",Orlando Executive (KORL),"Orlando Executive (Orlando, FL) - KORL",09:36PM EST,10:12PM EST,0:35,AIR METHODS CORP                                  
N637PC,26-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Jacksonville Exec At Craig (KCRG),"Jacksonville Exec At Craig (Jacksonville, FL) - KCRG",07:42PM EST,08:11PM EST,0:29,AIR METHODS CORP                                  
N637PC,26-Feb-2021,PC12,Gainesville Rgnl (KGNV),"Gainesville Rgnl (Gainesville, FL) - KGNV",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",05:11PM EST,05:36PM EST,0:25,AIR METHODS CORP                                  
N637PC,26-Feb-2021,PC12,Pensacola Intl (KPNS),"Pensacola Intl (Pensacola, FL) - KPNS",Gainesville Rgnl (KGNV),"Gainesville Rgnl (Gainesville, FL) - KGNV",01:23PM CST,03:27PM EST,1:03,AIR METHODS CORP                                  
N637PC,26-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Pensacola Intl (KPNS),"Pensacola Intl (Pensacola, FL) - KPNS",12:38PM EST,12:41PM CST,1:03,AIR METHODS CORP                                  
N637PC,25-Feb-2021,PC12,Cecil (KVQQ),"Cecil (Jacksonville, FL) - KVQQ",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",07:04AM EST,07:32AM EST,0:27,AIR METHODS CORP                                  
N637PC,25-Feb-2021,PC12,Henry Tift Myers (KTMA),"Henry Tift Myers (Tifton, GA) - KTMA",Cecil (KVQQ),"Cecil (Jacksonville, FL) - KVQQ",05:46AM EST,06:19AM EST,0:32,AIR METHODS CORP                                  
N637PC,25-Feb-2021,PC12,Cecil (KVQQ),"Cecil (Jacksonville, FL) - KVQQ",Henry Tift Myers (KTMA),"Henry Tift Myers (Tifton, GA) - KTMA",03:47AM EST,04:21AM EST,0:34,AIR METHODS CORP                                  
N637PC,25-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Cecil (KVQQ),"Cecil (Jacksonville, FL) - KVQQ",02:54AM EST,03:21AM EST,0:26,AIR METHODS CORP                                  
N637PC,24-Feb-2021,PC12,Orlando Executive (KORL),"Orlando Executive (Orlando, FL) - KORL",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",07:52PM EST,08:46PM EST,0:54,AIR METHODS CORP                                  
N637PC,24-Feb-2021,PC12,Tallahassee Intl (KTLH),"Tallahassee Intl (Tallahassee, FL) - KTLH",Orlando Executive (KORL),"Orlando Executive (Orlando, FL) - KORL",05:26PM EST,06:14PM EST,0:47,AIR METHODS CORP                                  
N637PC,24-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Tallahassee Intl (KTLH),"Tallahassee Intl (Tallahassee, FL) - KTLH",04:16PM EST,04:33PM EST (?),0:17,AIR METHODS CORP                                  
N637PC,24-Feb-2021,PC12,Gainesville Rgnl (KGNV),"Gainesville Rgnl (Gainesville, FL) - KGNV",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",02:52AM EST,03:18AM EST,0:25,AIR METHODS CORP                                  
N637PC,24-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Gainesville Rgnl (KGNV),"Gainesville Rgnl (Gainesville, FL) - KGNV",01:52AM EST,02:18AM EST,0:25,AIR METHODS CORP                                  
N637PC,24-Feb-2021,PC12,Gainesville Rgnl (KGNV),"Gainesville Rgnl (Gainesville, FL) - KGNV",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",12:29AM EST,12:55AM EST,0:26,AIR METHODS CORP                                  
N637PC,23-Feb-2021,PC12,Pensacola Intl (KPNS),"Pensacola Intl (Pensacola, FL) - KPNS",Gainesville Rgnl (KGNV),"Gainesville Rgnl (Gainesville, FL) - KGNV",09:34PM CST,11:42PM EST,1:07,AIR METHODS CORP                                  
N637PC,23-Feb-2021,PC12,Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",Pensacola Intl (KPNS),"Pensacola Intl (Pensacola, FL) - KPNS",06:48PM EST,06:48PM CST,1:00,AIR METHODS CORP                                  
N637PC,20-Feb-2021,PC12,Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",Valdosta Rgnl (KVLD),"Valdosta Rgnl (Valdosta, GA) - KVLD",12:40PM MST,07:00PM EST,4:19,AIR METHODS CORP                                  
N637PC,20-Feb-2021,PC12,Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",Memphis Intl (KMEM),"Memphis Intl (Memphis, TN) - KMEM",12:40PM MST,,Diverted,AIR METHODS CORP                                  
N637PC,20-Feb-2021,PC12,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",07:17AM MST,08:22AM MST,1:04,AIR METHODS CORP                                  
N637PC,20-Feb-2021,PC12,Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",04:28AM MST,05:27AM MST,0:59,AIR METHODS CORP                                  
N637PC,20-Feb-2021,PC12,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",01:14AM MST,02:20AM MST,1:05,AIR METHODS CORP                                  
N637PC,19-Feb-2021,PC12,Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",10:04PM MST,10:56PM MST,0:52,AIR METHODS CORP                                  
N637PC,16-Feb-2021,PC12,Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",03:40PM MST,03:48PM MST (?),0:07,AIR METHODS CORP                                  
N637PC,14-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Casper/Natrona County Intl (KCPR),"Casper/Natrona County Intl (Casper, WY) - KCPR",11:48AM CST,12:02PM MST,1:14,AIR METHODS CORP                                  
N637PC,12-Feb-2021,PC12,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",08:43PM MST,10:37PM CST,0:53,AIR METHODS CORP                                  
N637PC,12-Feb-2021,PC12,Mc Cook Ben Nelson Rgnl (KMCK),"Mc Cook Ben Nelson Rgnl (Mc Cook, NE) - KMCK",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",06:48PM CST,06:54PM MST,1:06,AIR METHODS CORP                                  
N637PC,12-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Mc Cook Ben Nelson Rgnl (KMCK),"Mc Cook Ben Nelson Rgnl (Mc Cook, NE) - KMCK",05:49PM CST,06:06PM CST,0:17,AIR METHODS CORP                                  
N637PC,12-Feb-2021,PC12,Kearney Rgnl (KEAR),"Kearney Rgnl (Kearney, NE) - KEAR",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",03:34AM CST,03:58AM CST,0:24,AIR METHODS CORP                                  
N637PC,12-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Kearney Rgnl (KEAR),"Kearney Rgnl (Kearney, NE) - KEAR",01:59AM CST,02:29AM CST,0:29,AIR METHODS CORP                                  
N637PC,10-Feb-2021,PC12,Kearney Rgnl (KEAR),"Kearney Rgnl (Kearney, NE) - KEAR",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",09:38PM CST,10:06PM CST,0:27,AIR METHODS CORP                                  
N637PC,10-Feb-2021,PC12,Atwood County (KADT),"Atwood County (Atwood, KS) - KADT",Kearney Rgnl (KEAR),"Kearney Rgnl (Kearney, NE) - KEAR",08:04PM CST,08:37PM CST,0:32,AIR METHODS CORP                                  
N637PC,10-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Atwood County (KADT),"Atwood County (Atwood, KS) - KADT",06:59PM CST,07:22PM CST,0:22,AIR METHODS CORP                                  
N637PC,09-Feb-2021,PC12,Imperial Muni (KIML),"Imperial Muni (Imperial, NE) - KIML",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",06:50PM MST,08:18PM CST,0:27,AIR METHODS CORP                                  
N637PC,09-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Imperial Muni (KIML),"Imperial Muni (Imperial, NE) - KIML",06:19PM CST,05:43PM MST,0:24,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,Millard (KMLE),"Millard (Omaha, NE) - KMLE",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",09:29PM CST,10:40PM CST,1:10,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Millard (KMLE),"Millard (Omaha, NE) - KMLE",07:16PM CST,08:04PM CST,0:47,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,Millard (KMLE),"Millard (Omaha, NE) - KMLE",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",04:30PM CST,05:42PM CST,1:11,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,Kearney Rgnl (KEAR),"Kearney Rgnl (Kearney, NE) - KEAR",Millard (KMLE),"Millard (Omaha, NE) - KMLE",02:09PM CST,02:41PM CST,0:32,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Kearney Rgnl (KEAR),"Kearney Rgnl (Kearney, NE) - KEAR",12:50PM CST,01:15PM CST,0:24,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",06:24AM MST,08:27AM CST,1:03,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,Sidney Municipal (KSNY),"Sidney Municipal (Sidney, NE) - KSNY",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",03:20AM MST,04:02AM MST,0:42,AIR METHODS CORP                                  
N637PC,08-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Sidney Municipal (KSNY),"Sidney Municipal (Sidney, NE) - KSNY",02:34AM CST,02:10AM MST (?),0:36,AIR METHODS CORP                                  
N637PC,07-Feb-2021,PC12,Eppley Airfield (KOMA),"Eppley Airfield (Omaha, NE) - KOMA",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",07:05PM CST,08:22PM CST,1:16,AIR METHODS CORP                                  
N637PC,07-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Eppley Airfield (KOMA),"Eppley Airfield (Omaha, NE) - KOMA",03:52PM CST,04:47PM CST,0:55,AIR METHODS CORP                                  
N637PC,06-Feb-2021,PC12,Iowa City Muni (KIOW),"Iowa City Muni (Iowa City, IA) - KIOW",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",08:41PM CST,10:56PM CST,2:14,AIR METHODS CORP                                  
N637PC,06-Feb-2021,PC12,Des Moines Intl (KDSM),"Des Moines Intl (Des Moines, IA) - KDSM",Iowa City Muni (KIOW),"Iowa City Muni (Iowa City, IA) - KIOW",06:51PM CST,07:22PM CST,0:30,AIR METHODS CORP                                  
N637PC,06-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Des Moines Intl (KDSM),"Des Moines Intl (Des Moines, IA) - KDSM",03:46PM CST,04:56PM CST,1:09,AIR METHODS CORP                                  
N637PC,05-Feb-2021,PC12,Lincoln (KLNK),"Lincoln (Lincoln, NE) - KLNK",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",07:23PM CST,08:21PM CST,0:57,AIR METHODS CORP                                  
N637PC,05-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Lincoln (KLNK),"Lincoln (Lincoln, NE) - KLNK",04:52PM CST,05:33PM CST,0:41,AIR METHODS CORP                                  
N637PC,04-Feb-2021,PC12,Lincoln (KLNK),"Lincoln (Lincoln, NE) - KLNK",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",07:52PM CST,08:50PM CST,0:58,AIR METHODS CORP                                  
N637PC,04-Feb-2021,PC12,Audubon County (KADU),"Audubon County (Audubon, IA) - KADU",Lincoln (KLNK),"Lincoln (Lincoln, NE) - KLNK",05:43PM CST,06:14PM CST,0:31,AIR METHODS CORP                                  
N637PC,04-Feb-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Audubon County (KADU),"Audubon County (Audubon, IA) - KADU",04:09PM CST,05:12PM CST,1:02,AIR METHODS CORP                                  
N637PC,31-Jan-2021,PC12,Millard (KMLE),"Millard (Omaha, NE) - KMLE",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",11:55PM CST,12:58AM CST (+1),1:02,AIR METHODS CORP                                  
N637PC,31-Jan-2021,PC12,Broken Bow Muni/Keith Glaze Fld (KBBW),"Broken Bow Muni/Keith Glaze Fld (Broken Bow, NE) - KBBW",Millard (KMLE),"Millard (Omaha, NE) - KMLE",09:05PM CST,09:52PM CST,0:47,AIR METHODS CORP                                  
N637PC,31-Jan-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Broken Bow Muni/Keith Glaze Fld (KBBW),"Broken Bow Muni/Keith Glaze Fld (Broken Bow, NE) - KBBW",07:50PM CST,08:12PM CST,0:21,AIR METHODS CORP                                  
N637PC,31-Jan-2021,PC12,Rochester Intl (KRST),"Rochester Intl (Rochester, MN) - KRST",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",04:26PM CST,06:05PM CST,1:38,AIR METHODS CORP                                  
N637PC,31-Jan-2021,PC12,Des Moines Intl (KDSM),"Des Moines Intl (Des Moines, IA) - KDSM",Rochester Intl (KRST),"Rochester Intl (Rochester, MN) - KRST",01:21PM CST,02:11PM CST,0:49,AIR METHODS CORP                                  
N637PC,31-Jan-2021,PC12,N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",Des Moines Intl (KDSM),"Des Moines Intl (Des Moines, IA) - KDSM",10:40AM CST,11:59AM CST,1:19,AIR METHODS CORP                                  
N637PC,30-Jan-2021,PC12,Mount Vernon (KMVN),"Mount Vernon (Mount Vernon, IL) - KMVN",N Platte Rgnl (KLBF),"N Platte Rgnl (North Platte, NE) - KLBF",01:38PM CST,04:15PM CST,2:36,AIR METHODS CORP                                  
N637PC,30-Jan-2021,PC12,Watertown Intl (KART),"Watertown Intl (Watertown, NY) - KART",Mount Vernon (KMVN),"Mount Vernon (Mount Vernon, IL) - KMVN",10:51AM EST,01:00PM CST,3:08,AIR METHODS CORP                                  
N637PC,25-Jan-2021,PC12,Potsdam Muni/Damon Fld (KPTD),"Potsdam Muni/Damon Fld (Potsdam, NY) - KPTD",Watertown Intl (KART),"Watertown Intl (Watertown, NY) - KART",08:41AM EST,09:05AM EST,0:23,AIR METHODS CORP                                  
N637PC,25-Jan-2021,PC12,Syracuse Hancock Intl (KSYR),"Syracuse Hancock Intl (Syracuse, NY) - KSYR",Potsdam Muni/Damon Fld (KPTD),"Potsdam Muni/Damon Fld (Potsdam, NY) - KPTD",04:10AM EST,04:50AM EST,0:39,AIR METHODS CORP                                  
N637PC,25-Jan-2021,PC12,Potsdam Muni/Damon Fld (KPTD),"Potsdam Muni/Damon Fld (Potsdam, NY) - KPTD",Syracuse Hancock Intl (KSYR),"Syracuse Hancock Intl (Syracuse, NY) - KSYR",02:04AM EST,02:36AM EST,0:31,AIR METHODS CORP                                  
N637PC,24-Jan-2021,PC12,Frederick Douglass - Greater Rochester Intl (KROC),"Frederick Douglass - Greater Rochester Intl (Rochester, NY) - KROC",Potsdam Muni/Damon Fld (KPTD),"Potsdam Muni/Damon Fld (Potsdam, NY) - KPTD",10:54PM EST,11:36PM EST,0:42,AIR METHODS CORP                                  
N637PC,24-Jan-2021,PC12,Potsdam Muni/Damon Fld (KPTD),"Potsdam Muni/Damon Fld (Potsdam, NY) - KPTD",Frederick Douglass - Greater Rochester Intl (KROC),"Frederick Douglass - Greater Rochester Intl (Rochester, NY) - KROC",08:15PM EST,08:58PM EST,0:43,AIR METHODS CORP                                  
