tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N888CP,06-Jan-2021,LJ31,"<span dir=""ltr"">Indianapolis Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>07:30PM <span class=""tz"">EST</span></td>","<td>07:06PM <span class=""tz"">CST</span></td>",0:35,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Indianapolis Intl</span>","<td>12:42PM <span class=""tz"">CST</span></td>","<td>02:15PM <span class=""tz"">EST</span></td>",0:32,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>11:30AM <span class=""tz"">CST</span></td>","<td>11:47AM <span class=""tz"">CST</span></td>",0:16,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-2020,LJ31,"<span dir=""ltr"">Baltimore/Washington Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>10:53PM <span class=""tz"">EST</span></td>","<td>11:49PM <span class=""tz"">CST</span></td>",1:56,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-2020,LJ31,"<span dir=""ltr"">Rogers Exec - Carter Fld</span>","<span dir=""ltr"">Baltimore/Washington Intl</span>","<td>05:25PM <span class=""tz"">CST</span></td>","<td>08:16PM <span class=""tz"">EST</span></td>",1:50,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Rogers Exec - Carter Fld</span>","<td>12:44PM <span class=""tz"">CST</span></td>","<td>02:18PM <span class=""tz"">CST</span></td>",1:33,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>05:34PM <span class=""tz"">CST</span></td>","<td>05:45PM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,"<span dir=""ltr"">Indianapolis Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>05:36PM <span class=""tz"">EST</span></td>","<td>05:12PM <span class=""tz"">CST</span></td>",0:35,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Indianapolis Intl</span>","<td>11:34AM <span class=""tz"">CST</span></td>","<td>01:05PM <span class=""tz"">EST</span></td>",0:30,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>09:58AM <span class=""tz"">CST</span></td>","<td>10:14AM <span class=""tz"">CST</span></td>",0:15,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
